pocz;zyl;b;wstp;wstk;lkr;SL;TP;op;bvol;vwst;ll3;bawe;bcawe
1000;0;-0.0001;21;4;34;0.016;0.0086;8;220;7;5;0.0015;0.0015
1100;0;-0.0001;17;2;36;0.016;0.0086;8;220;7;5;0.002;0.0015
1200;0.0361;-0.0001;21;2;34;0.014;0.0172;8;220;7;3;0.0015;0.002
1300;-0.0182;-0.0001;21;2;34;0.014;0.0086;10;220;7;3;0.0015;0.002
1400;0.0061;-0.0001;21;2;34;0.016;0.0063;8;400;7;3;0.0015;0.002
1500;0.0214;-0.0001;19;2;34;0.016;0.0172;8;220;7;5;0.002;0.002
1600;0.009;-0.0003;17;2;34;0.0018;0.0063;10;220;7;3;0.002;0.002
1700;0.0157;-0.0001;19;2;34;0.016;0.0086;8;220;7;5;0.002;0.002
1800;0.0165;-0.0001;21;2;36;0.016;0.0086;8;400;7;5;0.002;0.002
1900;-0.0032;-0.0003;19;2;36;0.016;0.0086;8;220;7;3;0.0015;0.002
2000;0.0376;-0.0005;19;4;36;0.018;0.0086;10;220;7;3;0.002;0.0015
2100;-0.0739;-0.0005;19;2;38;0.016;0.0063;10;220;7;5;0.002;0.002
2200;-0.0407;-0.0005;17;2;36;0.014;0.0086;10;400;7;5;0.002;0.0015
2300;0.0391;-0.0005;19;6;36;0.014;0.0086;10;400;7;3;0.0015;0.0015
2400;0.0388;-0.0003;19;2;38;0.014;0.0086;10;220;7;3;0.0015;0.002
2500;0;-0.0003;19;2;38;0.014;0.0063;8;220;7;3;0.0015;0.002
2600;0.00032;-0.0003;19;2;38;0.014;0.0086;10;220;7;3;0.0015;0.002
2700;0.0089;-0.0003;19;2;36;0.014;0.0086;8;400;7;5;0.002;0.002
2800;-0.0708;-0.0001;21;6;34;0.014;0.0172;10;220;7;3;0.0015;0.002
2900;-0.0229;-0.0001;17;6;36;0.014;0.0086;10;400;5;3;0.0015;0.002
3000;0.0348;-0.0003;17;2;38;0.014;0.0086;8;220;5;3;0.002;0.0015
3100;-0.0138;-0.0003;17;2;36;0.014;0.0086;10;220;5;5;0.002;0.0015
3200;0.0229;-0.0003;17;2;36;0.014;0.0086;10;220;5;3;0.002;0.0015
3300;0.0208;-0.0003;17;2;38;0.014;0.0086;10;220;7;3;0.002;0.002
3400;-0.0103;-0.0003;17;2;38;0.014;0.0063;8;220;7;5;0.002;0.002
3500;0.0113;-0.0003;17;4;34;0.014;0.0086;8;220;5;3;0.0015;0.002
3600;0.0273;-0.0005;19;2;38;0.014;0.0086;8;220;7;3;0.002;0.002
3700;0.0112;-0.0003;17;4;36;0.014;0.0086;10;220;5;5;0.0015;0.002
3800;0.0075;-0.0003;17;2;36;0.014;0.0063;8;220;7;5;0.002;0.002
3900;-0.0022;-0.0003;17;2;34;0.016;0.0063;10;220;5;3;0.002;0.002
4000;0.01;-0.0001;19;2;34;0.018;0.0086;10;220;5;5;0.0015;0.002
4100;0.0163;-0.0003;17;2;36;0.014;0.0063;10;220;7;5;0.0015;0.0015
4200;0.0168;-0.0003;17;4;34;0.014;0.0063;8;220;5;3;0.0015;0.0015
4300;0.029;-0.0001;17;6;34;0.014;0.0172;8;220;5;5;0.002;0.0015
