pocz;zyl;b;wstp;wstk;lkr;SL;TP;op;bvol;vwst;ll3;bawe;bcawe
1000;0.00480;-0.00005;23;2;30;0.02300;0.00500;10;280;8;4;0.00180;0.01900
1100;0.00745;0.00010;21;2;30;0.04500;0.02200;6;280;7;14;0.00120;0.01100
1200;0.02282;-0.00005;27;2;17;0.04200;0.01100;9;280;9;8;0.00070;0.01300
1300;-0.03828;0.00020;28;4;15;0.03400;0.02400;5;100;8;14;0.00070;0.01400
1400;0.00000;0.00030;27;2;14;0.04300;0.00700;3;280;5;16;0.00060;0.01200
1500;0.02313;-0.00030;30;20;10;0.01500;0.01400;2;160;7;20;0.00160;0.01600
1600;0.00726;-0.00035;28;17;11;0.03600;0.02400;3;260;4;16;0.00040;0.01700
1700;0.00357;0.00035;16;1;31;0.02400;0.02100;9;140;6;8;0.00180;0.01200
1800;0.00253;0.00030;19;1;44;0.04600;0.00800;3;160;4;4;0.00120;0.01900
1900;0.00093;-0.00005;18;1;49;0.04500;0.00700;6;120;4;8;0.00030;0.01900
2000;0.00257;0.00015;19;1;45;0.02600;0.02700;3;140;5;6;0.00120;0.01100
2100;-0.05536;0.00030;17;1;58;0.04200;0.00800;4;120;6;10;0.00030;0.01000
2200;-0.00287;0.00030;15;1;49;0.04200;0.03000;2;140;7;14;0.00180;0.01400
2300;0.01920;0.00010;19;1;53;0.04400;0.00500;6;160;3;18;0.00170;0.01300
2400;0.01124;0.00005;15;1;43;0.02700;0.01100;1;240;4;14;0.00040;0.01300
2500;0.02008;0.00000;14;1;38;0.04400;0.01000;7;140;1;8;0.00030;0.02000
2600;0.00651;0.00030;15;1;44;0.00500;0.01500;7;120;6;20;0.00170;0.01900
2700;0.01694;-0.00015;15;1;49;0.01500;0.01500;8;240;5;4;0.00060;0.01500
2800;-0.00608;0.00010;15;12;37;0.04200;0.01800;6;180;3;18;0.00180;0.01800
2900;0.01476;0.00015;15;1;60;0.02300;0.02400;10;180;10;6;0.00070;0.01700
3000;-0.01264;0.00035;27;13;9;0.04500;0.01200;6;160;8;16;0.00100;0.01800
3100;-0.01706;0.00035;27;15;7;0.00900;0.01300;6;280;4;4;0.00020;0.01100
3200;0.01449;0.00035;23;12;9;0.02200;0.01000;8;140;2;12;0.00080;0.01300
3300;0.07573;0.00015;22;12;10;0.02800;0.01100;9;160;6;18;0.00040;0.01600
3400;0.00311;0.00015;22;12;9;0.01200;0.02600;9;200;4;14;0.00060;0.01300
3500;-0.01747;0.00020;23;15;8;0.02900;0.02800;9;240;7;14;0.00050;0.01600
3600;0.00804;0.00040;22;14;9;0.02600;0.01000;6;140;9;16;0.00190;0.01300
3700;0.00622;0.00035;24;18;3;0.01900;0.01200;1;140;9;14;0.00030;0.01300
3800;-0.00093;0.00020;31;28;6;0.02600;0.01300;9;180;9;10;0.00140;0.01200
3900;0.01790;0.00005;18;17;49;0.05000;0.00800;9;260;9;18;0.00080;0.01200
4000;0.01385;0.00030;16;2;32;0.02400;0.00400;4;160;7;6;0.00140;0.01700
4100;-0.00651;-0.00010;19;3;12;0.02000;0.01500;4;200;10;14;0.00150;0.01900
4200;0.03726;0.00015;19;9;49;0.02900;0.00600;8;160;5;8;0.00160;0.01900
4300;0.03748;0.00015;19;11;49;0.04300;0.00500;7;100;4;8;0.00140;0.01700
