pocz;zyl;duration;volthre;vollen;buffer;SL;closeAgo
1100;0.0462;11.0000;-163.0000;8.0000;0.0007;0.0076;52.0000
1200;0.0409;17.0000;40.0000;14.0000;0.0003;0.0090;116.0000
1300;0.0238;14.0000;-44.0000;15.0000;0.0012;0.0084;145.0000
1400;0.0209;14.0000;46.0000;12.0000;0.0013;0.0096;145.0000
1500;0.0539;15.0000;-275.0000;7.0000;0.0003;0.0046;116.0000
1600;0.0217;10.0000;-250.0000;11.0000;0.0006;0.0078;142.0000
1700;0.0302;10.0000;-102.0000;8.0000;0.0005;0.0088;142.0000
1800;0.0204;17.0000;-209.0000;17.0000;0.0004;0.0044;155.0000
1900;0.0204;17.0000;-272.0000;8.0000;0.0005;0.0094;155.0000
2000;0.0204;17.0000;-357.0000;14.0000;0.0018;0.0050;156.0000
2100;0.0196;10.0000;-283.0000;15.0000;0.0009;0.0074;142.0000
2200;0.0225;12.0000;-223.0000;12.0000;0.0012;0.0062;80.0000
2300;0.0204;17.0000;-338.0000;9.0000;0.0008;0.0046;155.0000
2400;0.0167;17.0000;-166.0000;16.0000;0.0013;0.0026;155.0000
2500;0.0243;17.0000;-218.0000;11.0000;0.0008;0.0074;193.0000
2600;0.0345;13.0000;-149.0000;8.0000;0.0018;0.0084;202.0000
2700;0.0548;17.0000;249.0000;14.0000;0.0006;0.0090;209.0000
2800;0.0710;12.0000;-15.0000;14.0000;0.0009;0.0070;30.0000
2900;0.0216;13.0000;-77.0000;7.0000;0.0012;0.0058;78.0000
3000;0.0209;14.0000;341.0000;11.0000;0.0011;0.0060;187.0000
3100;0.0165;10.0000;-259.0000;14.0000;0.0003;0.0068;98.0000
3200;0.0387;17.0000;-102.0000;15.0000;0.0011;0.0066;67.0000
3300;0.0191;10.0000;-286.0000;20.0000;0.0011;0.0082;98.0000
3400;0.0348;17.0000;-85.0000;17.0000;0.0014;0.0084;67.0000
3500;0.0231;14.0000;-293.0000;15.0000;0.0012;0.0068;71.0000
3600;0.0297;9.0000;-78.0000;17.0000;0.0010;0.0054;67.0000
3700;0.0212;14.0000;-157.0000;14.0000;0.0020;0.0066;67.0000
3800;0.0246;10.0000;-220.0000;6.0000;0.0013;0.0058;72.0000
3900;0.0246;15.0000;-304.0000;9.0000;0.0018;0.0076;27.0000
4000;0.0241;15.0000;-280.0000;9.0000;0.0010;0.0054;27.0000
4100;0.0049;11.0000;-318.0000;17.0000;0.0011;0.0062;103.0000
4200;0.0052;11.0000;116.0000;16.0000;0.0011;0.0068;222.0000
