1	 50-1000	-0.0009	20	3	34	0.0050	0.0059	7	153	7	15	0.0011	0.0019
2	 100-1100	-0.0001	23	4	20	0.0062	0.0096	8	242	6	11	0.0016	0.0021
3	 200-1200	-0.0010	23	6	45	0.0084	0.0094	11	155	9	10	0.0013	0.0014
4	 300-1300	-0.0001	21	1	23	0.0036	0.0060	6	135	8	7	0.0016	0.0018
5	 400-1400	-0.0008	21	1	30	0.0036	0.0030	10	247	8	15	0.0015	0.0021
6	 500-1500	-0.0003	20	1	25	0.0036	0.0070	11	249	7	15	0.0012	0.0012
7	 600-1600	-0.0003	23	3	19	0.0068	0.0046	7	230	4	9	0.0016	0.0022
8	 700-1700	-0.0001	21	2	16	0.0080	0.0050	9	202	5	10	0.0015	0.0015
9	 800-1800	-0.0001	19	3	23	0.0034	0.0056	8	236	7	7	0.0016	0.0010
10	 900-1900	-0.0003	21	2	24	0.0086	0.0092	7	208	6	5	0.0018	0.0009
11	 1000-2000	-0.0005	19	3	32	0.0032	0.0073	9	217	6	6	0.0016	0.0011
12	 1100-2100	-0.0001	19	3	23	0.0030	0.0070	6	207	7	10	0.0013	0.0012
13	 1200-2200	-0.0005	19	5	22	0.0036	0.0074	9	155	8	13	0.0013	0.0013
14	 1300-2300	-0.0020	19	2	25	0.0070	0.0066	8	172	8	11	0.0010	0.0006
15	 1400-2400	-0.0005	18	1	32	0.0034	0.0064	7	213	7	8	0.0011	0.0009
16	 1500-2500	-0.0012	19	4	30	0.0070	0.0076	7	199	8	6	0.0012	0.0009
17	 1600-2600	-0.0005	19	2	32	0.0034	0.0075	9	260	8	15	0.0011	0.0008
18	 1700-2700	-0.0012	19	2	37	0.0046	0.0063	8	202	6	5	0.0020	0.0013
19	 1800-2800	-0.0012	19	2	21	0.0038	0.0096	9	185	7	14	0.0013	0.0009
20	 1900-2900	-0.0005	19	2	23	0.0032	0.0084	9	165	6	11	0.0015	0.0008
21	 2000-3000	-0.0018	18	5	22	0.0018	0.0082	11	185	8	7	0.0013	0.0017
22	 2100-3100	-0.0012	19	2	21	0.0028	0.0060	10	155	5	8	0.0012	0.0016
23	 2200-3200	-0.0019	18	4	35	0.0022	0.0084	10	256	6	9	0.0013	0.0025
24	 2300-3300	-0.0012	20	2	19	0.0060	0.0092	10	254	5	11	0.0015	0.0008
25	 2400-3400	-0.0002	20	1	20	0.0062	0.0086	9	181	7	10	0.0013	0.0020
26	 2500-3500	-0.0002	19	1	22	0.0092	0.0020	6	119	6	14	0.0017	0.0014
27	 2600-3600	-0.0002	19	5	16	0.0074	0.0060	11	199	6	11	0.0011	0.0017
28	 2700-3700	-0.0007	18	1	20	0.0086	0.0084	6	168	6	9	0.0018	0.0028
29	 2800-3800	-0.0003	19	3	17	0.0062	0.0018	10	173	6	11	0.0017	0.0013
30	 2900-3900	-0.0001	20	1	31	0.0052	0.0020	6	192	8	7	0.0017	0.0008
31	 3000-4000	-0.0006	21	2	16	0.0080	0.0016	9	160	7	15	0.0012	0.0018
32	 3100-4100	-0.0002	20	2	36	0.0040	0.0016	8	197	8	7	0.0013	0.0030
33	 3200-4200	-0.0001	17	4	48	0.0086	0.0040	9	173	6	13	0.0014	0.0020
34	 3300-4300	-0.0008	20	2	47	0.0088	0.0016	7	263	5	13	0.0014	0.0028
