pocz;zyl;b;wstp;wstk;lkr;SL;TP;op;bvol;vwst;ll3;bawe;bcawe
1000;0.00570;-0.00090;20;3;34;0.00500;0.00590;7;153;7;15;0.00110;0.00190
1100;0.03978;-0.00014;23;4;20;0.00620;0.00960;8;242;6;11;0.00160;0.00207
1200;0.02750;-0.00101;23;6;45;0.00840;0.00940;11;155;9;10;0.00133;0.00141
1300;-0.01140;-0.00010;21;1;23;0.00360;0.00600;6;135;8;7;0.00160;0.00180
1400;0.00560;-0.00080;21;1;30;0.00360;0.00300;10;247;8;15;0.00150;0.00210
1500;0.01083;-0.00030;20;1;25;0.00360;0.00700;11;249;7;15;0.00120;0.00120
1600;0.01483;-0.00027;23;3;19;0.00680;0.00460;7;230;4;9;0.00163;0.00222
1700;0.00328;-0.00011;21;2;16;0.00800;0.00500;9;202;5;10;0.00152;0.00151
1800;0.00943;-0.00011;19;3;23;0.00340;0.00560;8;236;7;7;0.00160;0.00104
1900;-0.00889;-0.00030;21;2;24;0.00860;0.00920;7;208;6;5;0.00180;0.00090
2000;0.00395;-0.00050;19;3;32;0.00320;0.00730;9;217;6;6;0.00160;0.00110
2100;-0.02240;-0.00012;19;3;23;0.00300;0.00700;6;207;7;10;0.00125;0.00116
2200;0.02018;-0.00053;19;5;22;0.00360;0.00740;9;155;8;13;0.00128;0.00132
2300;0.01200;-0.00196;19;2;25;0.00700;0.00660;8;172;8;11;0.00102;0.00063
2400;0.03488;-0.00050;18;1;32;0.00340;0.00640;7;213;7;8;0.00110;0.00090
2500;0.00030;-0.00125;19;4;30;0.00700;0.00760;7;199;8;6;0.00118;0.00086
2600;0.00207;-0.00050;19;2;32;0.00340;0.00750;9;260;8;15;0.00110;0.00080
2700;0.04630;-0.00120;19;2;37;0.00460;0.00630;8;202;6;5;0.00200;0.00130
2800;0.00844;-0.00120;19;2;21;0.00380;0.00960;9;185;7;14;0.00131;0.00087
2900;0.00056;-0.00052;19;2;23;0.00320;0.00840;9;165;6;11;0.00145;0.00079
3000;0.01729;-0.00185;18;5;22;0.00180;0.00820;11;185;8;7;0.00127;0.00171
3100;-0.01352;-0.00119;19;2;21;0.00280;0.00600;10;155;5;8;0.00122;0.00161
3200;0.04728;-0.00187;18;4;35;0.00220;0.00840;10;256;6;9;0.00130;0.00253
3300;0.03035;-0.00116;20;2;19;0.00600;0.00920;10;254;5;11;0.00153;0.00082
3400;-0.00056;-0.00018;20;1;20;0.00620;0.00860;9;181;7;10;0.00134;0.00201
3500;0.00900;-0.00020;19;1;22;0.00920;0.00200;6;119;6;14;0.00170;0.00140
3600;0.04687;-0.00017;19;5;16;0.00740;0.00600;11;199;6;11;0.00115;0.00174
3700;0.00702;-0.00071;18;1;20;0.00860;0.00840;6;168;6;9;0.00178;0.00282
3800;0.00640;-0.00033;19;3;17;0.00620;0.00180;10;173;6;11;0.00172;0.00127
3900;-0.00360;-0.00010;20;1;31;0.00520;0.00200;6;192;8;7;0.00170;0.00080
4000;0.00560;-0.00059;21;2;16;0.00800;0.00160;9;160;7;15;0.00125;0.00181
4100;0.01305;-0.00020;20;2;36;0.00400;0.00160;8;197;8;7;0.00130;0.00300
4200;0.01640;-0.00012;17;4;48;0.00860;0.00400;9;173;6;13;0.00139;0.00196
4300;0.00840;-0.00080;20;2;47;0.00880;0.00160;7;263;5;13;0.00140;0.00280
