pocz;zyl;b;wstp;wstk;lkr;SL;TP;bvol;vwst;ll3;bawe;bcawe
1000;0.0000;0.00173;22.00;1.00;24.00;0.00640;0.00160;427.00;7.00;6.00;0.00108;0.00090
1100;0.0056;0.00176;24.00;6.00;20.00;0.00480;0.00180;387.00;7.00;13.00;0.00114;0.00184
1200;-0.0004;-0.00124;17.00;2.00;21.00;0.00620;0.00560;303.00;6.00;12.00;0.00182;0.00216
1300;0.0144;0.00198;21.00;4.00;27.00;0.00560;0.00180;523.00;5.00;7.00;0.00146;0.00172
1400;0.0030;-0.00048;23.00;4.00;13.00;0.00400;0.00380;317.00;6.00;6.00;0.00101;0.00276
1500;0.0032;-0.00058;22.00;4.00;46.00;0.00920;0.00380;313.00;6.00;15.00;0.00196;0.00237
1600;0.0046;0.00142;23.00;6.00;33.00;0.00680;0.00160;316.00;6.00;6.00;0.00146;0.00129
1700;0.0064;-0.00130;24.00;7.00;24.00;0.00800;0.00680;328.00;9.00;7.00;0.00122;0.00214
1800;-0.0006;-0.00105;19.00;2.00;41.00;0.00800;0.00560;341.00;4.00;5.00;0.00169;0.00115
1900;0.0054;0.00126;28.00;2.00;41.00;0.00880;0.00160;379.00;5.00;14.00;0.00175;0.00286
2000;0.0037;-0.00050;25.00;5.00;42.00;0.00580;0.00380;377.00;7.00;11.00;0.00114;0.00244
2100;0.0099;-0.00011;27.00;6.00;25.00;0.00700;0.00220;374.00;7.00;11.00;0.00152;0.00233
2200;0.0042;0.00147;25.00;4.00;13.00;0.00780;0.00220;492.00;3.00;5.00;0.00177;0.00155
2300;0.0074;0.00020;28.00;6.00;27.00;0.00860;0.00200;421.00;9.00;10.00;0.00136;0.00195
2400;0.0026;-0.00025;24.00;5.00;36.00;0.00920;0.00220;462.00;9.00;14.00;0.00118;0.00145
2500;-0.0023;-0.00027;24.00;2.00;40.00;0.00640;0.00200;342.00;4.00;7.00;0.00151;0.00097
2600;-0.0002;0.00184;22.00;2.00;30.00;0.00820;0.00260;371.00;4.00;6.00;0.00113;0.00129
2700;0.0071;-0.00153;19.00;2.00;38.00;0.00480;0.00280;279.00;4.00;7.00;0.00152;0.00282
2800;0.0032;-0.00147;23.00;4.00;27.00;0.00500;0.00160;113.00;6.00;17.00;0.00103;0.00156
2900;0.0059;-0.00120;19.00;2.00;16.00;0.00740;0.00280;174.00;4.00;12.00;0.00159;0.00264
3000;-0.0033;-0.00113;19.00;2.00;17.00;0.00480;0.00280;204.00;4.00;15.00;0.00105;0.00068
3100;0.0064;-0.00123;23.00;3.00;21.00;0.00280;0.00520;257.00;5.00;6.00;0.00129;0.00255
3200;-0.0050;-0.00162;22.00;3.00;21.00;0.00760;0.00520;159.00;9.00;7.00;0.00138;0.00252
3300;0.0085;-0.00176;25.00;3.00;23.00;0.00780;0.00700;255.00;9.00;9.00;0.00157;0.00172
3400;0.0000;-0.00160;17.00;3.00;14.00;0.00680;0.00480;240.00;9.00;15.00;0.00159;0.00229
3500;-0.0010;-0.00184;25.00;3.00;21.00;0.00680;0.00640;104.00;9.00;11.00;0.00110;0.00148
3600;0.0034;0.00010;19.00;4.00;41.00;0.00880;0.00680;497.00;7.00;13.00;0.00117;0.00224
3700;-0.0028;-0.00161;17.00;3.00;21.00;0.00800;0.00640;237.00;9.00;12.00;0.00161;0.00253
3800;0.0031;0.00020;18.00;6.00;7.00;0.00920;0.00960;263.00;7.00;11.00;0.00180;0.00088
3900;0.0025;-0.00158;17.00;3.00;18.00;0.00840;0.00640;234.00;9.00;10.00;0.00150;0.00182
4000;-0.0020;-0.00112;18.00;5.00;25.00;0.00720;0.00900;197.00;8.00;10.00;0.00159;0.00227
4100;0.0000;0.00011;18.00;5.00;34.00;0.00740;0.00900;252.00;7.00;9.00;0.00193;0.00226
4200;0.0068;0.00077;19.00;4.00;41.00;0.00800;0.00680;433.00;6.00;6.00;0.00200;0.00186
4300;0.0078;-0.00163;17.00;3.00;19.00;0.00860;0.00540;145.00;5.00;11.00;0.00191;0.00250
