pocz;zyl;b;wstp;wstk;lkr;SL;TP;bvol;vwst;ll3;bawe;bcawe
1000;0.0000;0.00011;21.00;3.00;12.00;0.00700;0.00940;131.00;8.00;6.00;0.00165;0.00096
1100;0.0000;-0.00097;27.00;1.00;5.00;0.00300;0.00160;271.00;4.00;10.00;0.00127;0.00123
1200;0.0000;0.00021;25.00;2.00;21.00;0.00240;0.00840;275.00;7.00;10.00;0.00192;0.00148
1300;0.0000;0.00056;22.00;7.00;11.00;0.00600;0.00700;124.00;8.00;9.00;0.00121;0.00232
1400;0.0000;0.00012;22.00;6.00;13.00;0.00560;0.00560;124.00;6.00;7.00;0.00192;0.00110
1500;0.0000;-0.00110;25.00;1.00;6.00;0.00740;0.00180;252.00;5.00;5.00;0.00122;0.00154
1600;0.0000;0.00011;28.00;6.00;22.00;0.00480;0.00940;419.00;5.00;8.00;0.00118;0.00146
1700;0.0000;0.00078;27.00;7.00;15.00;0.00500;0.00860;279.00;9.00;11.00;0.00173;0.00208
1800;0.0000;0.00072;23.00;7.00;30.00;0.00480;0.00520;117.00;8.00;7.00;0.00151;0.00193
1900;0.0000;0.00081;20.00;6.00;45.00;0.00960;0.00380;188.00;6.00;7.00;0.00186;0.00250
2000;0.0000;0.00103;25.00;4.00;45.00;0.00800;0.00220;273.00;6.00;16.00;0.00151;0.00086
2100;0.0000;0.00151;27.00;4.00;32.00;0.00940;0.00280;288.00;4.00;7.00;0.00148;0.00204
2200;0.0000;0.00026;26.00;7.00;46.00;0.00940;0.00400;319.00;5.00;9.00;0.00173;0.00295
2300;0.0000;0.00016;28.00;6.00;26.00;0.00920;0.00180;437.00;6.00;7.00;0.00151;0.00072
2400;0.0000;0.00068;26.00;2.00;50.00;0.00960;0.00620;327.00;7.00;8.00;0.00173;0.00136
2500;0.0000;-0.00105;24.00;3.00;41.00;0.00920;0.00360;305.00;4.00;13.00;0.00129;0.00217
2600;0.0000;0.00043;26.00;6.00;25.00;0.00820;0.00160;439.00;4.00;12.00;0.00165;0.00260
2700;0.0000;0.00035;26.00;7.00;12.00;0.00920;0.00200;270.00;5.00;10.00;0.00147;0.00116
2800;0.0000;0.00041;18.00;7.00;37.00;0.00520;0.00580;229.00;4.00;17.00;0.00131;0.00086
2900;0.0000;0.00098;21.00;6.00;10.00;0.00500;0.00720;106.00;7.00;9.00;0.00198;0.00067
3000;0.0000;0.00055;18.00;5.00;43.00;0.00540;0.00700;224.00;4.00;18.00;0.00178;0.00077
3100;0.0000;0.00023;17.00;4.00;33.00;0.00880;0.00240;398.00;3.00;8.00;0.00171;0.00255
3200;0.0000;0.00123;17.00;1.00;46.00;0.00580;0.00660;287.00;4.00;7.00;0.00183;0.00100
3300;0.0000;-0.00099;25.00;5.00;37.00;0.00900;0.00160;318.00;6.00;12.00;0.00152;0.00229
3400;0.0000;0.00183;26.00;7.00;12.00;0.00800;0.00200;240.00;4.00;6.00;0.00152;0.00177
3500;0.0000;0.00190;27.00;6.00;20.00;0.00780;0.00320;276.00;5.00;9.00;0.00167;0.00203
3600;0.0000;0.00021;28.00;6.00;42.00;0.00920;0.00160;388.00;6.00;6.00;0.00188;0.00097
3700;0.0000;0.00024;28.00;2.00;34.00;0.00820;0.00160;292.00;6.00;13.00;0.00176;0.00062
3800;0.0000;0.00024;26.00;7.00;30.00;0.00780;0.00200;268.00;8.00;9.00;0.00176;0.00078
3900;0.0000;0.00056;27.00;5.00;20.00;0.00680;0.00540;237.00;7.00;17.00;0.00128;0.00158
4000;0.0000;0.00038;17.00;4.00;31.00;0.00500;0.00540;198.00;7.00;6.00;0.00164;0.00113
4100;0.0000;0.00050;17.00;4.00;29.00;0.00460;0.00800;105.00;7.00;7.00;0.00137;0.00084
4200;0.0000;0.00064;23.00;4.00;31.00;0.00460;0.00500;120.00;6.00;14.00;0.00144;0.00127
4300;0.0000;0.00051;24.00;4.00;29.00;0.00420;0.00500;119.00;6.00;14.00;0.00177;0.00126
