pocz;zyl;b;wstp;wstk;lkr;SL;TP;bvol;vwst;ll3;bawe;bcawe
1000;0.0000;-0.00024;23.00;2.00;25.00;0.00500;0.00360;485.00;7.00;5.00;0.00172;0.00096
1100;0.0056;-0.00019;23.00;4.00;35.00;0.00620;0.00300;498.00;6.00;7.00;0.00169;0.00155
1200;-0.0004;-0.00028;23.00;4.00;17.00;0.00580;0.00300;489.00;5.00;12.00;0.00182;0.00246
1300;0.0144;-0.00019;23.00;4.00;32.00;0.00320;0.00280;498.00;6.00;14.00;0.00132;0.00154
1400;0.0030;-0.00025;23.00;4.00;17.00;0.00380;0.00680;487.00;5.00;12.00;0.00185;0.00133
1500;0.0032;-0.00019;23.00;4.00;7.00;0.00520;0.00180;418.00;6.00;12.00;0.00137;0.00277
1600;0.0046;-0.00178;18.00;3.00;24.00;0.00900;0.00200;275.00;7.00;12.00;0.00141;0.00210
1700;0.0064;-0.00197;21.00;4.00;34.00;0.00960;0.00280;343.00;6.00;15.00;0.00170;0.00203
1800;-0.0006;-0.00052;23.00;2.00;28.00;0.00460;0.00160;483.00;7.00;9.00;0.00130;0.00252
1900;0.0054;-0.00199;21.00;3.00;44.00;0.00740;0.00300;352.00;5.00;15.00;0.00108;0.00221
2000;0.0037;-0.00058;24.00;3.00;15.00;0.00780;0.00160;451.00;6.00;12.00;0.00126;0.00264
2100;0.0099;-0.00199;21.00;4.00;10.00;0.00680;0.00240;457.00;6.00;13.00;0.00169;0.00256
2200;0.0042;-0.00195;18.00;4.00;34.00;0.00720;0.00180;478.00;7.00;14.00;0.00138;0.00117
2300;0.0074;-0.00197;20.00;4.00;36.00;0.00940;0.00220;388.00;7.00;8.00;0.00175;0.00146
2400;0.0026;-0.00200;18.00;4.00;20.00;0.00760;0.00220;403.00;6.00;12.00;0.00182;0.00156
2500;-0.0023;-0.00183;20.00;2.00;9.00;0.00760;0.00260;215.00;7.00;14.00;0.00153;0.00209
2600;-0.0002;-0.00177;18.00;4.00;18.00;0.00820;0.00220;409.00;6.00;13.00;0.00124;0.00089
2700;0.0071;-0.00083;18.00;4.00;14.00;0.00900;0.00180;207.00;5.00;9.00;0.00173;0.00145
2800;0.0032;-0.00182;17.00;4.00;34.00;0.00900;0.00220;171.00;5.00;15.00;0.00185;0.00170
2900;0.0059;-0.00185;20.00;4.00;28.00;0.00960;0.00220;380.00;7.00;7.00;0.00157;0.00138
3000;-0.0033;-0.00171;21.00;4.00;20.00;0.00820;0.00260;450.00;8.00;12.00;0.00157;0.00094
3100;0.0064;-0.00185;20.00;3.00;28.00;0.00880;0.00280;344.00;6.00;8.00;0.00130;0.00161
3200;-0.0050;-0.00184;20.00;3.00;25.00;0.00920;0.00280;361.00;6.00;7.00;0.00152;0.00160
3300;0.0085;-0.00075;22.00;5.00;30.00;0.00880;0.00240;282.00;6.00;10.00;0.00149;0.00288
3400;0.0000;-0.00069;22.00;1.00;35.00;0.00900;0.00320;360.00;5.00;12.00;0.00145;0.00221
3500;-0.0010;-0.00072;22.00;1.00;32.00;0.00780;0.00440;382.00;7.00;5.00;0.00134;0.00211
3600;0.0034;-0.00041;22.00;4.00;22.00;0.00920;0.00360;313.00;5.00;7.00;0.00150;0.00209
3700;-0.0028;-0.00072;23.00;1.00;24.00;0.00780;0.00420;379.00;7.00;8.00;0.00196;0.00164
3800;0.0031;-0.00069;19.00;4.00;24.00;0.00660;0.00200;155.00;8.00;10.00;0.00166;0.00184
3900;0.0025;-0.00087;23.00;2.00;42.00;0.00800;0.00340;423.00;5.00;13.00;0.00161;0.00193
4000;-0.0020;-0.00093;22.00;1.00;16.00;0.00920;0.00320;435.00;6.00;12.00;0.00152;0.00230
4100;0.0000;-0.00095;22.00;4.00;22.00;0.00840;0.00280;465.00;4.00;9.00;0.00149;0.00228
4200;0.0068;-0.00089;21.00;4.00;45.00;0.00780;0.00360;473.00;7.00;10.00;0.00152;0.00210
4300;0.0078;-0.00191;22.00;3.00;35.00;0.00680;0.00240;199.00;8.00;10.00;0.00168;0.00294
