1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
50-1000	100-1100	200-1200	300-1300	400-1400	500-1500	600-1600	700-1700	800-1800	900-1900	1000-2000	1100-2100	1200-2200	1300-2300	1400-2400	1500-2500	1600-2600	1700-2700	1800-2800	1900-2900	2000-3000	2100-3100	2200-3200	2300-3300	2400-3400	2500-3500	2600-3600	2700-3700	2800-3800	2900-3900	3000-4000	3100-4100	3200-4200	3300-4300
-0.0009	-0.0003	-0.0006	-0.0003	-0.0008	-0.0001	-0.0012	-0.0012	-0.0004	-0.0006	-0.0002	-0.0011	-0.0019	-0.0001	-0.0005	-0.0002	-0.0006	-0.0011	-0.0002	-0.0011	-0.0015	-0.0013	-0.0002	-0.0003	-0.0008	-0.0004	-0.0013	-0.0004	-0.0004	-0.0002	-0.0002	-0.0002	-0.0004	-0.0004
33	38	35	31	27	34	26	37	27	16	14	19	36	15	20	36	14	33	31	19	19	18	40	36	17	41	41	18	25	25	37	36	17	21
7	7	9	2	8	1	14	2	1	15	13	18	34	2	5	2	2	4	1	6	5	3	18	17	11	29	20	17	3	4	3	7	2	3
20	29	29	18	18	16	14	24	18	19	30	26	18	27	15	30	22	26	27	19	19	18	16	17	15	16	17	16	16	28	17	23	29	28
0.0261	0.0241	0.0189	0.0203	0.0165	0.0131	0.0134	0.0178	0.0312	0.0152	0.0245	0.0056	0.0138	0.0287	0.0052	0.0310	0.0224	0.0067	0.0166	0.0227	0.0211	0.0159	0.0230	0.0310	0.0034	0.0203	0.0267	0.0263	0.0110	0.0303	0.0071	0.0271	0.0272	0.0247
0.0002	0.0015	0.0010	0.0002	0.0002	0.0248	0.0206	0.0001	0.0007	0.0289	0.0152	0.0267	0.0030	0.0005	0.0181	0.0004	0.0009	0.0001	0.0000	0.0110	0.0236	0.0123	0.0192	0.0141	0.0090	0.0274	0.0306	0.0318	0.0007	0.0010	0.0201	0.0153	0.0020	0.0011
9	7	9	5	8	7	3	8	9	8	9	2	9	2	1	1	2	2	6	8	7	7	9	8	10	9	9	8	6	4	10	9	6	3
163	208	212	175	265	195	297	159	153	169	248	240	266	151	158	131	268	284	191	167	150	273	242	239	253	240	167	296	249	110	112	110	106	121
22	25	4	31	10	32	5	20	29	13	16	5	32	28	14	16	13	18	16	24	10	28	30	34	6	39	17	34	18	17	35	17	7	14
8	5	7	12	3	2	14	19	12	14	16	17	14	12	15	4	19	10	2	5	13	14	12	15	17	19	17	16	7	7	3	6	18	7
0.0175	0.0198	0.0151	0.0110	0.0143	0.0138	0.0043	0.0061	0.0130	0.0044	0.0181	0.0017	0.0037	0.0127	0.0102	0.0169	0.0174	0.0130	0.0065	0.0018	0.0163	0.0022	0.0013	0.0025	0.0022	0.0077	0.0076	0.0047	0.0021	0.0135	0.0117	0.0194	0.0091	0.0116
0.0099	0.0140	0.0094	0.0077	0.0079	0.0136	0.0077	0.0135	0.0062	0.0072	0.0111	0.0141	0.0097	0.0136	0.0118	0.0136	0.0092	0.0067	0.0142	0.0094	0.0089	0.0087	0.0084	0.0135	0.0062	0.0132	0.0095	0.0139	0.0080	0.0135	0.0135	0.0146	0.0130	0.0125
