pocz;zyl;b;wstp;wstk;lkr;SL;TP;op;bvol;vwst;ll3;bawe;bcawe
1000;0.00000;-0.00090;33;7;20;0.02610;0.00020;9;163;22;8;0.01750;0.00990
1100;0.00260;-0.00030;38;7;29;0.02410;0.00150;7;208;25;5;0.01980;0.01400
1200;0.01360;-0.00060;35;9;29;0.01890;0.00100;9;212;4;7;0.01510;0.00940
1300;-0.00138;-0.00030;31;2;18;0.02030;0.00020;5;175;31;12;0.01100;0.00770
1400;0.00077;-0.00080;27;8;18;0.01650;0.00020;8;265;10;3;0.01430;0.00790
1500;0.01052;-0.00010;34;1;16;0.01310;0.02480;7;195;32;2;0.01380;0.01360
1600;0.00408;-0.00120;26;14;14;0.01340;0.02060;3;297;5;14;0.00430;0.00770
1700;-0.00012;-0.00120;37;2;24;0.01780;0.00010;8;159;20;19;0.00610;0.01350
1800;0.00250;-0.00040;27;1;18;0.03120;0.00070;9;153;29;12;0.01300;0.00620
1900;-0.07112;-0.00060;16;15;19;0.01520;0.02890;8;169;13;14;0.00440;0.00720
2000;-0.00058;-0.00020;14;13;30;0.02450;0.01520;9;248;16;16;0.01810;0.01110
2100;-0.03987;-0.00110;19;18;26;0.00560;0.02670;2;240;5;17;0.00170;0.01410
2200;-0.00311;-0.00190;36;34;18;0.01380;0.00300;9;266;32;14;0.00370;0.00970
2300;0.00132;-0.00010;15;2;27;0.02870;0.00050;2;151;28;12;0.01270;0.01360
2400;0.01382;-0.00050;20;5;15;0.00520;0.01810;1;158;14;15;0.01020;0.01180
2500;0.00020;-0.00020;36;2;30;0.03100;0.00040;1;131;16;4;0.01690;0.01360
2600;0.00016;-0.00060;14;2;22;0.02240;0.00090;2;268;13;19;0.01740;0.00920
2700;0.00008;-0.00110;33;4;26;0.00670;0.00010;2;284;18;10;0.01300;0.00670
2800;-0.01738;-0.00020;31;1;27;0.01660;0.00000;6;191;16;2;0.00650;0.01420
2900;-0.03737;-0.00110;19;6;19;0.02270;0.01100;8;167;24;5;0.00180;0.00940
3000;0.00300;-0.00150;19;5;19;0.02110;0.02360;7;150;10;13;0.01630;0.00890
3100;-0.01486;-0.00130;18;3;18;0.01590;0.01230;7;273;28;14;0.00220;0.00870
3200;0.06223;-0.00020;40;18;16;0.02300;0.01920;9;242;30;12;0.00130;0.00840
3300;0.21025;-0.00030;36;17;17;0.03100;0.01410;8;239;34;15;0.00250;0.01350
3400;0.01717;-0.00080;17;11;15;0.00340;0.00900;10;253;6;17;0.00220;0.00620
3500;-0.02337;-0.00040;41;29;16;0.02030;0.02740;9;240;39;19;0.00770;0.01320
3600;0.05585;-0.00130;41;20;17;0.02670;0.03060;9;167;17;17;0.00760;0.00950
3700;-0.00317;-0.00040;18;17;16;0.02630;0.03180;8;296;34;16;0.00470;0.01390
3800;0.00200;-0.00040;25;3;16;0.01100;0.00070;6;249;18;7;0.00210;0.00800
3900;0.00740;-0.00020;25;4;28;0.03030;0.00100;4;110;17;7;0.01350;0.01350
4000;0.00000;-0.00020;37;3;17;0.00710;0.02010;10;112;35;3;0.01170;0.01350
4100;0.00055;-0.00020;36;7;23;0.02710;0.01530;9;110;17;6;0.01940;0.01460
4200;0.01167;-0.00040;17;2;29;0.02720;0.00200;6;106;7;18;0.00910;0.01300
4300;0.00450;-0.00040;21;3;28;0.02470;0.00110;3;121;14;7;0.01160;0.01250
