1	0-1000	0.0108	7989.5041	84	0.0000	0.0023	0.0154
2	100-1100	0.0941	212.7817	131	0.0047	0.0127	-0.0009
3	200-1200	0.0943	213.3019	132	0.0074	-0.0115	-0.0029
4	300-1300	0.0155	11472.3676	84	-0.0092	-0.0090	-0.0075
5	400-1400	0.0368	34.3441	58	0.0010	0.0011	0.0063
6	500-1500	0.0379	5.3247	16	0.0094	0.0156	0.0143
7	600-1600	0.0924	3.5059	47	0.0140	0.0340	-0.0202
8	700-1700	0.1635	3.9128	70	0.0117	-0.0080	-0.0998
9	800-1800	0.1840	6.3634	60	-0.0197	-0.0504	-0.1291
10	900-1900	0.1488	5.2090	45	-0.0201	-0.0418	-0.1135
11	1000-2000	0.0790	2.8468	55	0.0117	-0.0729	-0.0157
12	1100-2100	0.0940	1.4827	152	-0.0722	-0.0296	0.0475
13	1200-2200	0.0552	0.3965	156	-0.0503	0.0438	0.1244
14	1300-2300	0.0234	0.5510	89	-0.0058	0.0259	0.0354
15	1400-2400	0.0640	0.6520	109	0.0440	0.0596	0.0323
16	1500-2500	0.0366	2.4653	106	0.0012	0.0039	-0.0767
17	1600-2600	0.1072	1.2262	126	-0.0368	-0.0008	0.0088
18	1700-2700	0.1113	0.6763	125	0.1068	0.0915	-0.0085
19	1800-2800	0.1254	2.3994	166	-0.0308	-0.0658	-0.0360
20	1900-2900	0.1257	1.9430	169	-0.0042	-0.0180	0.0370
21	2000-3000	0.1836	4.3087	153	-0.0253	-0.0550	0.0242
22	2100-3100	0.1529	3.6636	128	-0.0540	-0.0132	0.0278
23	2200-3200	0.0623	2.6139	85	0.0139	0.0197	0.0146
24	2300-3300	0.0754	2.9857	74	0.0352	0.0319	0.0391
25	2400-3400	0.1656	3.3726	93	-0.0097	-0.0185	0.0272
26	2500-3500	0.1378	3.7957	223	-0.0488	-0.0291	-0.0367
27	2600-3600	0.2459	2.2741	140	0.0370	0.0619	0.1126
28	2700-3700	0.0062	5.6250	68	-0.0002	0.0026	0.0053
29	2800-3800	0.2548	3.1310	125	0.0378	0.0364	0.0420
30	2900-3900	0.1266	4.4094	54	0.0331	0.0331	0.0512
31	3000-4000	0.2573	7.1890	102	0.0034	-0.0081	-0.0142
32	3100-4100	0.2078	7.8785	76	-0.0136	0.0213	0.0049
33	3200-4200	0.1784	14.3523	208	0.0379	0.0544	0.0897
34	3300-4300	0.0101	39.1569	125	0.0013	0.0013	-0.0024

